Farmacia;Endereço;Bairro;Cidade;Estado;Latitude;Longitude;EnderecoCompleto
DROGARIA SANTO ANDRE LTDA;MENDES DE OLIVEIRA;SANTO ANDRE;Belo Horizonte;MG;-19,9017729;-43,9521808;MENDES DE OLIVEIRA, SANTO ANDRE, Belo Horizonte, MG, Brasil
DROGARIA SAO FELIX LTDA;rua PROFESSORA GABRIELA VARELA, 1110;JARDIM GUANABARA;Belo Horizonte;MG;-19,8288016;-43,9322124;rua PROFESSORA GABRIELA VARELA, 1110, JARDIM GUANABARA, Belo Horizonte, MG, Brasil
DROGARIA SAO GERALDO JACUI LTDA;JACUI;FLORESTA;Belo Horizonte;MG;-19,9075074;-43,9322657;JACUI, FLORESTA, Belo Horizonte, MG, Brasil
DROGARIA SAO LEOPOLDO LTDA - ME;ANTONIO JOSE DOS SANTOS;CEU AZUL;Belo Horizonte;MG;-19,8227499;-44,0039799;ANTONIO JOSE DOS SANTOS, CEU AZUL, Belo Horizonte, MG, Brasil
DROGARIA SAO PEDRO DA ALDEIA LTDA - ME;SAO PEDRO DA ALDEIA;PILAR;Belo Horizonte;MG;-20,0013989;-43,9703305;SAO PEDRO DA ALDEIA, PILAR, Belo Horizonte, MG, Brasil
DROGARIA SERENATA LTDA;SERENATA;SANTANA DO CAFEZAL;Belo Horizonte;MG;-19,9356489;-43,9102774;SERENATA, SANTANA DO CAFEZAL, Belo Horizonte, MG, Brasil
DROGARIA SULEIMA LTDA - ME;PITANGUI;HORTO;Belo Horizonte;MG;-19,9087196;-43,9119385;PITANGUI, HORTO, Belo Horizonte, MG, Brasil
DROGARIA T&C LTDA;FRANCISCO SA;GUTIERREZ;Belo Horizonte;MG;-19,9356623;-43,9595796;FRANCISCO SA, GUTIERREZ, Belo Horizonte, MG, Brasil
DROGARIA TAMOIOS LTDA ME;DOS GUARANIS;CENTRO;Belo Horizonte;MG;-19,9150366;-43,9420377;DOS GUARANIS, CENTRO, Belo Horizonte, MG, Brasil
DROGARIA TLC LTDA;MONTEIRO LOBATO;OURO PRETO;Belo Horizonte;MG;-19,8731907;-43,9854815;MONTEIRO LOBATO, OURO PRETO, Belo Horizonte, MG, Brasil
DROGARIA TRIGUEIRO LTDA;RUA JOAO ALVES TEIXEIRA, Nº 242 - LOJA 1;MANTIQUEIRA;Belo Horizonte;MG;-19,7928705;-43,9833316;RUA JOAO ALVES TEIXEIRA, Nº 242 - LOJA 1, MANTIQUEIRA, Belo Horizonte, MG, Brasil
DROGARIA VALDIR LTDA;JOSUE MARTINS DE SOUZA;LAGOA;Belo Horizonte;MG;-19,8090965;-44,0033378;JOSUE MARTINS DE SOUZA, LAGOA, Belo Horizonte, MG, Brasil
DROGARIA VENDA NOVA LTDA;IRACI JOSE DA SILVA;LAGOA;Belo Horizonte;MG;-19,8077095;-44,0028566;IRACI JOSE DA SILVA, LAGOA, Belo Horizonte, MG, Brasil
DROGARIA VILARINHO LTDA;VILARINHO;VENDA NOVA;Belo Horizonte;MG;-19,8216682;-43,9474439;VILARINHO, VENDA NOVA, Belo Horizonte, MG, Brasil
DROGARIA VITORIA MINAS LTDA;ELISIO DE BRITO;BOA VISTA;Belo Horizonte;MG;-19,8956264;-43,9036927;ELISIO DE BRITO, BOA VISTA, Belo Horizonte, MG, Brasil
DROGARIA YPEFARMA LTDA - ME;ITAPECERICA;LAGOINHA;Belo Horizonte;MG;-19,9107525;-43,9421664;ITAPECERICA, LAGOINHA, Belo Horizonte, MG, Brasil
DROGARIAS E PERFUMARIAS AMERICANAS LTDA - ME;CURITIBA;CENTRO;Belo Horizonte;MG;-19,9202568;-43,9417036;CURITIBA, CENTRO, Belo Horizonte, MG, Brasil
DROGARIAS E PERFUMARIAS AMERICANAS LTDA - ME;DOS GUARANIS;CENTRO;Belo Horizonte;MG;-19,9150366;-43,9420377;DOS GUARANIS, CENTRO, Belo Horizonte, MG, Brasil
DROGARIAS HIPER POPULAR LTDA - ME;ESPIRITO SANTO;CENTRO;Belo Horizonte;MG;-19,9230418;-43,9383385;ESPIRITO SANTO, CENTRO, Belo Horizonte, MG, Brasil
DROGARIAS PACHECO S/A;ABILIO MACHADO;ALIPIO DE MELO;Belo Horizonte;MG;-19,8941691;-44,0086939;ABILIO MACHADO, ALIPIO DE MELO, Belo Horizonte, MG, Brasil
DROGARIAS PACHECO S/A;AV. VISCONDE DE IBITURUNA, Nº 19;BARREIRO;Belo Horizonte;MG;-19,9742456;-44,0161016;AV. VISCONDE DE IBITURUNA, Nº 19, BARREIRO, Belo Horizonte, MG, Brasil
DROGARIAS PACHECO S/A;CORONEL JOSE DIAS BICALHO;SAO JOSE;Belo Horizonte;MG;-19,8603834;-43,9661102;CORONEL JOSE DIAS BICALHO, SAO JOSE, Belo Horizonte, MG, Brasil
DROGARIAS PACHECO S/A;CRISTIANO MACHADO;CIDADE NOVA;Belo Horizonte;MG;-19,8860741;-43,929171;CRISTIANO MACHADO, CIDADE NOVA, Belo Horizonte, MG, Brasil
DROGARIAS PACHECO S/A;DO CONTORNO;PRADO;Belo Horizonte;MG;-19,9264659;-43,958381;DO CONTORNO, PRADO, Belo Horizonte, MG, Brasil
DROGARIAS PACHECO S/A;DO CONTORNO;PRADO;Belo Horizonte;MG;-19,9264659;-43,958381;DO CONTORNO, PRADO, Belo Horizonte, MG, Brasil
DROGARIAS PACHECO S/A;DO OURO;SERRA;Belo Horizonte;MG;-19,9335106;-43,9234402;DO OURO, SERRA, Belo Horizonte, MG, Brasil
DROGARIAS PACHECO S/A;FRANCISCO SA;GUTIERREZ;Belo Horizonte;MG;-19,9356623;-43,9595796;FRANCISCO SA, GUTIERREZ, Belo Horizonte, MG, Brasil
DROGARIAS PACHECO S/A;PADRE JOAO CRISOSTOMO;CORACAO EUCARISTICO;Belo Horizonte;MG;-19,9237052;-43,9874649;PADRE JOAO CRISOSTOMO, CORACAO EUCARISTICO, Belo Horizonte, MG, Brasil
DROGARIAS PACHECO S/A;PADRE PEDRO PINTO;VENDA NOVA;Belo Horizonte;MG;-19,8031725;-43,9983266;PADRE PEDRO PINTO, VENDA NOVA, Belo Horizonte, MG, Brasil
DROGARIAS PACHECO S/A;PADRE PEDRO PINTO;VENDA NOVA;Belo Horizonte;MG;-19,8031725;-43,9983266;PADRE PEDRO PINTO, VENDA NOVA, Belo Horizonte, MG, Brasil
DROGARIAS PACHECO S/A;PARANA;CENTRO;Belo Horizonte;MG;-19,921026;-43,9427154;PARANA, CENTRO, Belo Horizonte, MG, Brasil
DROGARIAS PACHECO S/A;PROFESSOR ALFREDO BALENA;SANTA EFIGENIA;Belo Horizonte;MG;-19,9236944;-43,926446;PROFESSOR ALFREDO BALENA, SANTA EFIGENIA, Belo Horizonte, MG, Brasil
DROGARIAS PACHECO S/A;PROFESSOR ALFREDO BALENA, Nº 125;CENTRO;Belo Horizonte;MG;-19,9269772;-43,9324151;PROFESSOR ALFREDO BALENA, Nº 125, CENTRO, Belo Horizonte, MG, Brasil
DROGARIAS PACHECO S/A;PRUDENTE DE MORAIS;SANTO ANTONIO;Belo Horizonte;MG;-19,9473795;-43,9484358;PRUDENTE DE MORAIS, SANTO ANTONIO, Belo Horizonte, MG, Brasil
DROGARIAS PACHECO S/A;RIO DE JANEIRO;CENTRO;Belo Horizonte;MG;-19,9162884;-43,9378304;RIO DE JANEIRO, CENTRO, Belo Horizonte, MG, Brasil
DROGARIAS PACHECO S/A;RUA DOS OTONI, Nº 862;SANTA EFIGENIA;Belo Horizonte;MG;-19,9260875;-43,9261851;RUA DOS OTONI, Nº 862, SANTA EFIGENIA, Belo Horizonte, MG, Brasil
DROGARIAS PACHECO S/A;RUA DOS TUPIS, Nº 256;CENTRO;Belo Horizonte;MG;-19,9199673;-43,9457542;RUA DOS TUPIS, Nº 256, CENTRO, Belo Horizonte, MG, Brasil
DROGARIAS PACHECO S/A;RUA MATO GROSSO, 417,  LJ05;BARRO PRETO;Belo Horizonte;MG;-19,9237781;-43,9481474;RUA MATO GROSSO, 417,  LJ05, BARRO PRETO, Belo Horizonte, MG, Brasil
DROGARIAS PACHECO S/A;SAO PAULO;CENTRO;Belo Horizonte;MG;-19,9137377;-43,9385142;SAO PAULO, CENTRO, Belo Horizonte, MG, Brasil
DROGARIAS PACHECO S/A;SILVA LOBO;NOVA GRANADA;Belo Horizonte;MG;-19,9362163;-43,9705523;SILVA LOBO, NOVA GRANADA, Belo Horizonte, MG, Brasil
DROGARIAS PACHECO S/A;SINFRONIO BROCHADO;BARREIRO;Belo Horizonte;MG;-19,9754012;-44,0134937;SINFRONIO BROCHADO, BARREIRO, Belo Horizonte, MG, Brasil
DROGARIAS PACHECO S/A;URSULA PAULINO;BETANIA;Belo Horizonte;MG;-19,9597776;-43,9893759;URSULA PAULINO, BETANIA, Belo Horizonte, MG, Brasil
DROGARTE - DROGARIA E PERFUMARIA LTDA - ME;WALDOMIRO LOBO;GUARANI;Belo Horizonte;MG;-19,8458758;-43,9297969;WALDOMIRO LOBO, GUARANI, Belo Horizonte, MG, Brasil
DROGASERRA LTDA - ME;JOAQUIM ABEL COELHO;MANTIQUEIRA;Belo Horizonte;MG;-19,7837407;-43,9823749;JOAQUIM ABEL COELHO, MANTIQUEIRA, Belo Horizonte, MG, Brasil
DROGASIL S.A.;IZABEL BUENO;SANTA ROSA;Belo Horizonte;MG;-19,8684355;-43,9503859;IZABEL BUENO, SANTA ROSA, Belo Horizonte, MG, Brasil
DROGAVALE LTDA ME;DAS PERPETUAS;LINDEIA (BARREIRO);Belo Horizonte;MG;-19,9786436;-44,0485452;DAS PERPETUAS, LINDEIA (BARREIRO), Belo Horizonte, MG, Brasil
DROGAVITA LTDA;FRANCISCO BICALHO;MONSENHOR MESSIAS;Belo Horizonte;MG;-19,9080064;-43,9786315;FRANCISCO BICALHO, MONSENHOR MESSIAS, Belo Horizonte, MG, Brasil
DROGAWILMA LTDA;GALENA;COLEGIO BATISTA;Belo Horizonte;MG;-19,9052555;-43,9396169;GALENA, COLEGIO BATISTA, Belo Horizonte, MG, Brasil
DROGAZILLE LTDA;FLOR D'AGUA;JARDIM ALVORADA;Belo Horizonte;MG;-19,8932796;-43,9897025;FLOR D'AGUA, JARDIM ALVORADA, Belo Horizonte, MG, Brasil
DROMAGUI DROGARIA E PERFUMARIA MAGUI LTDA;VEREADOR CICERO ILDEFONSO;JOAO PINHEIRO;Belo Horizonte;MG;-19,9258261;-43,9974802;VEREADOR CICERO ILDEFONSO, JOAO PINHEIRO, Belo Horizonte, MG, Brasil
DRUGSTORE SARANDI LTDA;OSORIO DUQUE ESTRADA;CAMPO ALEGRE;Belo Horizonte;MG;-19,8289187;-43,9449163;OSORIO DUQUE ESTRADA, CAMPO ALEGRE, Belo Horizonte, MG, Brasil
EMPREENDIMENTOS PAGUE MENOS S/A;ABILIO MACHADO;GLORIA;Belo Horizonte;MG;-19,9084384;-43,9986218;ABILIO MACHADO, GLORIA, Belo Horizonte, MG, Brasil
EMPREENDIMENTOS PAGUE MENOS S/A;DOUTOR CRISTIANO GUIMARAES;PLANALTO;Belo Horizonte;MG;-19,8347168;-43,9557697;DOUTOR CRISTIANO GUIMARAES, PLANALTO, Belo Horizonte, MG, Brasil
EMPREENDIMENTOS PAGUE MENOS S/A;MATERLANDIA;SANTA INES;Belo Horizonte;MG;-19,8831257;-43,9110015;MATERLANDIA, SANTA INES, Belo Horizonte, MG, Brasil
EMPREENDIMENTOS PAGUE MENOS S/A;PADRE ROLIM;SANTA EFIGENIA;Belo Horizonte;MG;-19,9276654;-43,9251428;PADRE ROLIM, SANTA EFIGENIA, Belo Horizonte, MG, Brasil
EMPREENDIMENTOS PAGUE MENOS S/A;RUA PARA DE MINAS, 270;PADRE EUSTAQUIO;Belo Horizonte;MG;-19,9145408;-43,9862838;RUA PARA DE MINAS, 270, PADRE EUSTAQUIO, Belo Horizonte, MG, Brasil
EXPERT DROGARIA E PERFUMARIA LTDA;ALVARES MACIEL;SANTA EFIGENIA;Belo Horizonte;MG;-19,9233362;-43,9266485;ALVARES MACIEL, SANTA EFIGENIA, Belo Horizonte, MG, Brasil
FARMACIA E DROGARIA ESTRELA DA MANHA LTDA;AUGUSTO DOS ANJOS;RIO BRANCO;Belo Horizonte;MG;-19,8182833;-43,9854839;AUGUSTO DOS ANJOS, RIO BRANCO, Belo Horizonte, MG, Brasil
FARMACIA INOVA LTDA - ME;"CONDE D""EU";VERA CRUZ;Belo Horizonte;MG;-19,9142574;-43,8961135;"CONDE D""EU, VERA CRUZ, Belo Horizonte, MG, Brasil"
FARMACIA MORAIS E OLIVEIRA LTDA;PAULO TIMOTEO NASCIMENTO;SANTA CRUZ;Belo Horizonte;MG;-19,879677;-43,9444214;PAULO TIMOTEO NASCIMENTO, SANTA CRUZ, Belo Horizonte, MG, Brasil
FARMÁCIA NOSSA SENHORA APARECIDA LTDA;PARA DE MINAS;PADRE EUSTAQUIO;Belo Horizonte;MG;-19,9142953;-43,9886957;PARA DE MINAS, PADRE EUSTAQUIO, Belo Horizonte, MG, Brasil
FARMACIA SHALOOM LTDA;SAO GERALDO;CABANA DO PAI TOMAS;Belo Horizonte;MG;-19,9489786;-43,9992343;SAO GERALDO, CABANA DO PAI TOMAS, Belo Horizonte, MG, Brasil
FARMACIA SHALOOM LTDA - EPP;INDEPENDENCIA;JARDINOPOLIS;Belo Horizonte;MG;-19,9429554;-44,0020914;INDEPENDENCIA, JARDINOPOLIS, Belo Horizonte, MG, Brasil
FARMACIA TUPI LTDA ME;EDGARD TORRES;MINASCAIXA;Belo Horizonte;MG;-19,8093243;-43,9558795;EDGARD TORRES, MINASCAIXA, Belo Horizonte, MG, Brasil
FARMACIA VIEGAS LTDA;MAJOR DELFINO DE PAULA;SAO FRANCISCO;Belo Horizonte;MG;-19,8793223;-43,9577846;MAJOR DELFINO DE PAULA, SAO FRANCISCO, Belo Horizonte, MG, Brasil
FARMACIA WEBFARMA LTDA;FRANCISCO BICALHO;CAICARA;Belo Horizonte;MG;-19,9080208;-43,9757547;FRANCISCO BICALHO, CAICARA, Belo Horizonte, MG, Brasil
FARMAVINTE LTDA - ME;DOM JOAO VI;PALMEIRAS;Belo Horizonte;MG;-19,9734711;-43,9781957;DOM JOAO VI, PALMEIRAS, Belo Horizonte, MG, Brasil
FARMAVIT LTDA - EPP;ANAPURUS;SAO GABRIEL;Belo Horizonte;MG;-19,855913;-43,9185804;ANAPURUS, SAO GABRIEL, Belo Horizonte, MG, Brasil
FELIX PHARMA DROGARIA LTDA - ME;MARCELINO FERREIRA;SANTA INES;Belo Horizonte;MG;-19,8807187;-43,9125808;MARCELINO FERREIRA, SANTA INES, Belo Horizonte, MG, Brasil
IMG IRMAOS MOREIRA GUIMARAES LTDA - ME;MAGENTA;VITORIA;Belo Horizonte;MG;-19,8589858;-43,8927775;MAGENTA, VITORIA, Belo Horizonte, MG, Brasil
JOSE FELIX HORTA ME;LADAINHA,121, LOJA A;PRIMEIRO DE MAIO;Belo Horizonte;MG;-19,8609747;-43,9291079;LADAINHA,121, LOJA A, PRIMEIRO DE MAIO, Belo Horizonte, MG, Brasil
LUZA FARMACIA E PERFUMARIA LTDA - ME;ITAITE;SAO GERALDO;Belo Horizonte;MG;-19,8988686;-43,9031278;ITAITE, SAO GERALDO, Belo Horizonte, MG, Brasil
M.X.M. DRUGSTORE E PERFUMARIA LTDA - ME;Avenida MAGENTA 581;VITORIA;Belo Horizonte;MG;-19,860128;-43,8912335;Avenida MAGENTA 581, VITORIA, Belo Horizonte, MG, Brasil
MEDFÁCIL FARMACÊUTICA LTDA.;DOMINGOS VIEIRA;SANTA EFIGENIA;Belo Horizonte;MG;-19,9227465;-43,9237406;DOMINGOS VIEIRA, SANTA EFIGENIA, Belo Horizonte, MG, Brasil
MGU COMERCIO DE MEDICAMENTOS E PERFUMARIA LTDA;SAO PAULO;CENTRO;Belo Horizonte;MG;-19,9137377;-43,9385142;SAO PAULO, CENTRO, Belo Horizonte, MG, Brasil
NANGIMO & NANGIMO DROGARIA LTDA;JULITA NOGUEIRA SOARES;SANTA TEREZINHA;Belo Horizonte;MG;-19,8707202;-44,0083552;JULITA NOGUEIRA SOARES, SANTA TEREZINHA, Belo Horizonte, MG, Brasil
NILON MACEDO DROGARIA LTDA;PADRE JOSE MAURICIO;VISTA ALEGRE;Belo Horizonte;MG;-19,9520894;-43,9926409;PADRE JOSE MAURICIO, VISTA ALEGRE, Belo Horizonte, MG, Brasil
NÚCLEO FARMACÊUTICO LTDA;GUARAPARI;SANTA AMELIA;Belo Horizonte;MG;-19,8405072;-43,9778788;GUARAPARI, SANTA AMELIA, Belo Horizonte, MG, Brasil
ORGANIZACAO EXITO KIFARMA LTDA - ME;IZABEL BUENO;INDAIA;Belo Horizonte;MG;-19,8692914;-43,9497146;IZABEL BUENO, INDAIA, Belo Horizonte, MG, Brasil
R LOBATO & CIA LTDA;NILO PECANHA;SAGRADA FAMILIA;Belo Horizonte;MG;-19,9061272;-43,9245812;NILO PECANHA, SAGRADA FAMILIA, Belo Horizonte, MG, Brasil
RAIA DROGASIL S/A;ANDRE CAVALCANTI;GUTIERREZ;Belo Horizonte;MG;-19,9328128;-43,9576225;ANDRE CAVALCANTI, GUTIERREZ, Belo Horizonte, MG, Brasil
RAIA DROGASIL S/A;CLAUDIO MANOEL;FUNCIONARIOS;Belo Horizonte;MG;-19,9350048;-43,9270889;CLAUDIO MANOEL, FUNCIONARIOS, Belo Horizonte, MG, Brasil
RAIA DROGASIL S/A;CONCEICAO DO MATO DENTRO;OURO PRETO;Belo Horizonte;MG;-19,8710695;-43,9819295;CONCEICAO DO MATO DENTRO, OURO PRETO, Belo Horizonte, MG, Brasil
RAIA DROGASIL S/A;DOS GOITACAZES;CENTRO;Belo Horizonte;MG;-19,9234292;-43,9374195;DOS GOITACAZES, CENTRO, Belo Horizonte, MG, Brasil
RAIA DROGASIL S/A;GRAO MOGOL;CARMO;Belo Horizonte;MG;-19,944386;-43,9331149;GRAO MOGOL, CARMO, Belo Horizonte, MG, Brasil
RAIA DROGASIL S/A;ILACIR PEREIRA LIMA;SILVEIRA;Belo Horizonte;MG;-19,8884578;-43,9304315;ILACIR PEREIRA LIMA, SILVEIRA, Belo Horizonte, MG, Brasil
RAIA DROGASIL S/A;ITAJUBA;FLORESTA;Belo Horizonte;MG;-19,915091;-43,9306323;ITAJUBA, FLORESTA, Belo Horizonte, MG, Brasil
RAIA DROGASIL S/A;KEPLER;SANTA LUCIA;Belo Horizonte;MG;-19,9637996;-43,949628;KEPLER, SANTA LUCIA, Belo Horizonte, MG, Brasil
RAIA DROGASIL S/A;PADRE EUSTAQUIO;PADRE EUSTAQUIO;Belo Horizonte;MG;-19,9150018;-43,9788458;PADRE EUSTAQUIO, PADRE EUSTAQUIO, Belo Horizonte, MG, Brasil
RAIA DROGASIL S/A;PORTUGAL;JARDIM ATLANTICO;Belo Horizonte;MG;-19,8395941;-43,9909237;PORTUGAL, JARDIM ATLANTICO, Belo Horizonte, MG, Brasil
RAIA DROGASIL S/A;PROFESSOR MARIO WERNECK;ESTORIL;Belo Horizonte;MG;-19,9668128;-43,9591859;PROFESSOR MARIO WERNECK, ESTORIL, Belo Horizonte, MG, Brasil
RAIA DROGASIL S/A;PROFESSOR MARIO WERNECK;BURITIS;Belo Horizonte;MG;-19,9708;-43,9654204;PROFESSOR MARIO WERNECK, BURITIS, Belo Horizonte, MG, Brasil
RAIA DROGASIL S/A;PRUDENTE DE MORAIS;CIDADE JARDIM;Belo Horizonte;MG;-19,937306;-43,9472329;PRUDENTE DE MORAIS, CIDADE JARDIM, Belo Horizonte, MG, Brasil
RAIA DROGASIL S/A;RODOVIA BR-356 3049, 3049 - LJ.MA27/28;BELVEDERE;Belo Horizonte;MG;-19,9802752;-43,9465701;RODOVIA BR-356 3049, 3049 - LJ.MA27/28, BELVEDERE, Belo Horizonte, MG, Brasil
RAIA DROGASIL S/A;RUA ANTONIO DE ALBUQUERQUE, 845;FUNCIONARIOS;Belo Horizonte;MG;-19,9325162;-43,9273183;RUA ANTONIO DE ALBUQUERQUE, 845, FUNCIONARIOS, Belo Horizonte, MG, Brasil
RAIA DROGASIL S/A;RUA CURITIBA, 1923;LOURDES;Belo Horizonte;MG;-19,9296789;-43,9441009;RUA CURITIBA, 1923, LOURDES, Belo Horizonte, MG, Brasil
RAIA DROGASIL S/A;RUA DA BAHIA, 1130;CENTRO;Belo Horizonte;MG;-19,9247361;-43,9373966;RUA DA BAHIA, 1130, CENTRO, Belo Horizonte, MG, Brasil
RAIA DROGASIL S/A;RUA JOAO LUCIO BRANDAO, 10;PRADO;Belo Horizonte;MG;-19,9206269;-43,9573273;RUA JOAO LUCIO BRANDAO, 10, PRADO, Belo Horizonte, MG, Brasil
RAIA DROGASIL S/A;RUA PITANGUI, 2425;SAGRADA FAMILIA;Belo Horizonte;MG;-19,9070881;-43,9228024;RUA PITANGUI, 2425, SAGRADA FAMILIA, Belo Horizonte, MG, Brasil
SANDRO DROGARIA LTDA-ME;ERICO VERISSIMO;CANDELARIA;Belo Horizonte;MG;-19,8152539;-43,9696626;ERICO VERISSIMO, CANDELARIA, Belo Horizonte, MG, Brasil
SINERGIA COMERCIO DE MEDICAMENTOS E PRODUTOS NUTRICIONAIS E DROGARIA LTDA - ME;DOS GEOLOGOS;ALIPIO DE MELO;Belo Horizonte;MG;-19,8951602;-44,0001618;DOS GEOLOGOS, ALIPIO DE MELO, Belo Horizonte, MG, Brasil
SIOFARMA LTDA - ME;VOLTS;PRIMEIRO DE MAIO;Belo Horizonte;MG;-19,862292;-43,9293975;VOLTS, PRIMEIRO DE MAIO, Belo Horizonte, MG, Brasil
SMR MEDICAMENTOS E PERFUMARIA LTDA;URSULA PAULINO;ESTRELA DO ORIENTE;Belo Horizonte;MG;-19,9597776;-43,9893759;URSULA PAULINO, ESTRELA DO ORIENTE, Belo Horizonte, MG, Brasil
SOCIEDADE COMERCIAL SANTA HELENA LTDA;RUA  BELMIRO BRAGA Nº 520;Caiçara;Belo Horizonte;MG;-19,8997005;-43,9652556;RUA  BELMIRO BRAGA Nº 520, Caiçara, Belo Horizonte, MG, Brasil
STATUS DROGARIA E PERFUMARIA LTDA;FLOR-DE-PITANGUEIRA;MINEIRAO;Belo Horizonte;MG;-20,0228302;-44,0291332;FLOR-DE-PITANGUEIRA, MINEIRAO, Belo Horizonte, MG, Brasil
SUL DROGAS LTDA;SILVA LOBO;ALTO BARROCA;Belo Horizonte;MG;-19,933732;-43,9717577;SILVA LOBO, ALTO BARROCA, Belo Horizonte, MG, Brasil
SUPREMA FORMULA FARMACIA DE MANIPULACAO LTDA - ME;BARAO DE COROMANDEL;BARREIRO;Belo Horizonte;MG;-19,9755422;-44,0189986;BARAO DE COROMANDEL, BARREIRO, Belo Horizonte, MG, Brasil
T & M DROGARIA E PERFUMARIA LTDA - ME;PROFESSORA GABRIELA VARELA;JARDIM GUANABARA;Belo Horizonte;MG;-19,8288016;-43,9322124;PROFESSORA GABRIELA VARELA, JARDIM GUANABARA, Belo Horizonte, MG, Brasil
THYAGO FERREIRA CUNHA - DROGARIA - ME;FLOR-DE-PITANGUEIRA;MINEIRAO;Belo Horizonte;MG;-20,0228302;-44,0291332;FLOR-DE-PITANGUEIRA, MINEIRAO, Belo Horizonte, MG, Brasil
UAI FARMA LTDA - ME;EXPEDITO FLAVIANO DA COSTA;LAGOA;Belo Horizonte;MG;-19,8107588;-44,0018822;EXPEDITO FLAVIANO DA COSTA, LAGOA, Belo Horizonte, MG, Brasil
UPA FARMA LTDA - ME;RUA AURELIO LOPES, 133 - LOJA A;DIAMANTE (BARREIRO);Belo Horizonte;MG;-19,9924221;-44,0192116;RUA AURELIO LOPES, 133 - LOJA A, DIAMANTE (BARREIRO), Belo Horizonte, MG, Brasil
VILELA E MENEZES DROGARIA E PERFUMARIA LTDA - ME;PINTOR RENATO LIMA;TUPI B;Belo Horizonte;MG;-19,8397421;-43,9121549;PINTOR RENATO LIMA, TUPI B, Belo Horizonte, MG, Brasil
VIP FARMA LTDA;ANTONIO JOSE DOS SANTOS;CEU AZUL;Belo Horizonte;MG;-19,8227499;-44,0039799;ANTONIO JOSE DOS SANTOS, CEU AZUL, Belo Horizonte, MG, Brasil
W FROES COMERCIAL LTDA - ME;SILVA ALVARENGA;SAO GERALDO;Belo Horizonte;MG;-19,899898;-43,8978081;SILVA ALVARENGA, SAO GERALDO, Belo Horizonte, MG, Brasil
WD MEDICAMENTOS LTDA;JULIO MESQUITA;ITAIPU (BARREIRO);Belo Horizonte;MG;-19,9970869;-44,0507725;JULIO MESQUITA, ITAIPU (BARREIRO), Belo Horizonte, MG, Brasil
DROGARIA ARAUJO S A;AVENIDA DO CONTORNO, 6714;LOURDES;Belo Horizonte;MG;-19,9391827;-43,9416411;AVENIDA DO CONTORNO, 6714, LOURDES, Belo Horizonte, MG, Brasil
